IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.113.41,4,4,0.00,169.69,16.91
104.16.36.159,4,4,0.00,170.05,12.12
104.18.36.140,4,4,0.00,169.60,9.55
104.20.12.129,4,4,0.00,170.40,9.07
198.41.196.16,4,4,0.00,169.81,9.00
104.21.14.89,4,4,0.00,169.67,0.23
104.19.218.104,4,4,0.00,168.03,0.15
104.18.231.198,4,4,0.00,167.55,0.00
162.159.245.115,4,4,0.00,168.49,0.00
104.18.104.15,4,4,0.00,168.51,0.00
