IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.101.189,4,4,0.00,168.90,12.07
104.25.245.67,4,4,0.00,169.94,11.37
104.20.15.42,4,4,0.00,168.47,10.78
104.18.133.207,4,4,0.00,167.52,8.03
104.27.25.20,4,4,0.00,174.52,5.77
104.18.109.239,4,4,0.00,170.47,5.11
104.18.141.215,4,4,0.00,173.35,4.24
104.20.65.65,4,4,0.00,167.17,4.09
104.18.233.79,4,4,0.00,173.89,3.24
104.27.35.65,4,4,0.00,167.60,2.70
104.20.11.239,4,4,0.00,172.90,2.13
172.66.41.7,4,4,0.00,169.99,1.97
104.18.75.120,4,4,0.00,171.16,1.15
104.27.26.107,4,4,0.00,173.13,0.43
198.41.217.107,4,4,0.00,171.51,0.35
104.19.93.182,4,4,0.00,164.00,0.33
104.18.117.35,4,4,0.00,173.98,0.32
104.27.42.157,4,4,0.00,172.76,0.29
104.27.40.110,4,4,0.00,173.92,0.27
172.64.36.250,4,4,0.00,156.87,0.00
